106256	WP_Ssid_73_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9548076270611386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106265	WP_Ssid_47_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9537470474554434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106230	ET_Ssid_44_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.950718954248366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106247	WP_Ssid_39_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9506692641236725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106168	WP_Ssid_93_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9491545893719807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106262	WP_Ssid_77_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9439973847004979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106190	ET_Ssid_44_2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9439089536639182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106151	ET_Ssid_44_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9415100727949891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106261	WP_Ssid_21_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9378124618948909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106184	WP_Ssid_104_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9344913151364764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106133	WP_Ssid_26_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9291522390382445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04816558378399408	0	0	0	0
106128	WP_Ssid_21_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8843038622218433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05482138289709267	0
106179	WP_Ssid_109_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7473724441047201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2246321421746608	0	0
106272	WP_Ofav_64_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9233956357609796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106145	ET_Oann_38_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8920125924298997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106273	WP_Oann_67_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.877241987650691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106224	ET_Ofra_40_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.859595518696348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106204	ET_Ofra_40_2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014026792750197007	0	0	0	0.8449172576832151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106139	ET_Ofav_32_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8406732117812061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106124	WP_Ofra_17_2017	0	0	0	0	0.05709578456993524	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8382570162481535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106277	WP_Oann_24_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8372750260300461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106164	ET_Ofra_59_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8349306633827703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106220	CH_Ofav_03_2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8309287646528405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106279	WP_Ofra_65_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.825498266897747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106147	ET_Ofra_40_2017	0	0	0	0	0.016713865289577433	0	0	0	0	0	0	0	0	0	0	0	0	0	0.821033927480704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106251	CH_Ofav_03_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8156107753152749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106110	CH_Ofav_03_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.815292265302106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106142	CH_Ofav_47_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8111186440677965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106170	WP_Ofra_65_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8107989142396008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106125	WP_Ofav_18_2017	0	0	0	0	0.030826741792176832	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8098385523892079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106158	CH_Oann_56_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8096768434208178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106246	CH_Ofra_81_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8089191700216785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106210	CH_Ofav_47_2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8088866588615711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106169	WP_Ofav_64_2017	0	0.450814097691723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4610153218386206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106253	CH_Mcav_58_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9530899449316745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106237	CH_Mcav_06_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9478586043886262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106175	WP_Mcav_70_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.946323888617489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106146	ET_Mcav_39_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9461557726020536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106268	WP_Mcav_19_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9416890080428955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106252	CH_Mcav_49_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9360390601159597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106162	ET_Mcav_55_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9354598716637217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106144	CH_Mcav_49_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.927026035936927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106195	ET_Mcav_34_2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9262270513300861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106126	WP_Mcav_19_2017	0	0	0	0	0.013217953594522634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9157474324838342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106223	ET_Mcav_34_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.906440811502856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106226	ET_Mcav_39_2019	0	0	0	0	0	0.018521229868228403	0	0	0	0	0	0	0	0	0	0	0	0	0	0.896778916544656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106113	CH_Mcav_06_2017	0	0	0.037806801180704376	0	0	0	0	0.0021430593182645264	0	0	0	0	0	0	0	0.0045691642068658765	0	0	0	0.8957583599530954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106234	ET_Mcav_55_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87683125339121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106249	WP_Mcav_Pstr_70_16_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8653890238870294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106201	CH_Mcav_06_2018	0	0	0	0	0	0	0	0	0.030498533724340176	0	0.04222873900293255	0	0	0	0	0	0	0	0	0.7674486803519062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106205	ET_Mcav_39_2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7410228509249184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05767138193688792	0	0	0	0	0	0	0	0
106217	CH_Mcav_58_2018	0	0	0	0	0	0.07024106400665005	0	0.07605985037406485	0	0	0	0	0	0	0	0	0	0	0	0.7219451371571073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106258	WP_Ofra_17_2019	0	0	0	0	0.8040255812800554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106157	CH_Ssid_51_2017	0	0	0	0	0.7932847072246445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106216	CH_Pstr_10_2018	0	0	0	0	0.7864439904059696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106266	WP_Pstr_28_2019	0	0	0	0	0.7852513146630794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106123	WP_Pstr_16_2017	0	0	0	0	0.7788097707650442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010299852188086142	0	0	0	0	0.00011203347994058611	0.00010119153026891649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106135	WP_Pstr_28_2017	0	0	0	0	0.7786976454355277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106242	CH_Pstr_82_2019	0	0	0	0	0.7735903544870406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030394917334488483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106244	CH_Pstr_10_2019	0	0	0	0	0.7714601992553085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106106	CH_Pstr_10_2017	0	0	0	0	0.7655714829379678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106108	CH_Cnat_12_2017	0	0	0	0	0	0.9066974727594272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106197	ET_Cnat_33_2018	0	0	0	0	0	0.9011309523809524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106235	ET_Ofra_59_2019	0	0	0	0	0	0.896295152824946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003149120098795925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106131	ET_Cnat_35_2017	0	0	0	0	0	0.8860644280466795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106154	ET_Cnat_60_2017	0	0	0	0	0	0.8846598295536616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106254	CH_Cnat_12_2019	0	0	0	0	0	0.8842668507810477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106200	ET_Cnat_60_2018	0	0	0	0	0	0.881592258632065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106215	ET_Cnat_60_2019	0	0	0	0	0	0.8794364670820916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019145669646888828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106202	CH_Cnat_12_2018	0	0	0	0	0	0.8749999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106140	ET_Cnat_33_2017	0	0	0	0	0	0.8564568462037638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106214	ET_Cnat_33_2019	0	0	0	0	0	0.8006198347107438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106199	ET_Cnat_52_2018	0	0	0	0	0	0	0	0	0	0	0	0.03350379964632223	0	0	0	0	0	0	0	0	0.8470582612436075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106136	WP_Cnat_29_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8409759992016367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106189	ET_Pstr_45_2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8220893290973649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106229	ET_Pstr_45_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8076797385620914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106152	ET_Pstr_45_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8076331735552139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106236	CH_Cnat_48_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8061989778987191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106211	CH_Cnat_48_2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7991534790930903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010136683471274903	0	0	0	0
106196	ET_Pstr_54_2018	0	0	0	0	0.12360460161908819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7182786536003409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106161	ET_Pstr_54_2017	0	0	0	0	0.16179010464289342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6701208981001727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106225	ET_Cnat_52_2019	0	0	0	0	0	0	0	0	0	0	0	0.23790370992916318	0	0	0	0	0	0	0	0	0.5899867931324289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106159	ET_Cnat_52_2017	0	0	0	0	0	0	0	0	0	0	0	0.3055541362219611	0	0	0	0	0	0	0	0	0.526595472893567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106117	CH_Dlab_13_2017	0	0	0	0	0	0	0.8882894912538389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004566697823474429	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106255	CH_Dlab_13_2019	0	0	0	0	0	0	0.8806903288831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106221	CH_Dlab_13_2018	0	0	0	0	0	0	0.8757798630484404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106132	ET_Dlab_36_2017	0	0	0	0	0	0	0.8728117738187452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106115	CH_Pstr_82_2017	0	0	0	0	0	0	0.8664183417892236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106240	CH_Ssid_51_2019	0	0	0	0	0	0	0.8654514895096789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106109	CH_Dlab_79_2017	0	0	0	0	0	0	0.8487434803224277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106119	WP_Dlab_23_2017	0	0	0	0	0	0	0.7808931667364142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106227	ET_Dlab_37_2019	0	0	0	0	0	0	0.7683535281539559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106269	WP_Dlab_23_2019	0	0	0	0	0	0	0.7627485725536522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106198	ET_Dlab_36_2018	0	0	0	0	0	0	0	0.7239932156214665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106259	WP_Dlab_20_2019	0	0	0	0	0	0	0	0.6402935193257774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106165	WP_Dlab_63_2017	0	0	0	0	0	0	0	0.6395942062980121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106127	WP_Dlab_20_2017	0	0	0	0	0	0	0	0.6225001991873157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106271	WP_Pstr_66_2019	0	0	0	0	0	0	0	0.49754218148000534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106134	WP_Pfur_27_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4828767123287671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
